_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,if__people_are_eating_the_cake_please_choose_their_gender_,if__people_are_eating_the_cake_please_choose_their_gender_:confidence,if_people_are_eating_the_cake_please_choose_their_age_,if_people_are_eating_the_cake_please_choose_their_age_:confidence,who_is_eating_or_is_likely_to_eat_the_cake,who_is_eating_or_is_likely_to_eat_the_cake:confidence,image_url
685655207,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://media1.onsugar.com/files/2012/02/07/2/192/1922729/3b764467b27d597b_cake.xxxlarge_1.jpg
685655208,finalized,3,3/6/15 13:38,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.skirtcollective.com/wp-content/uploads/2015/01/Woman-Eating-Cake.jpg
685655209,finalized,3,3/6/15 13:32,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.innovativeinsightsllc.com/wp-content/uploads/2013/10/7486411-portrait-of-beautiful-curly-brunette-girl-eating-cake.jpg
685655210,finalized,3,3/6/15 13:34,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.moreyspiers.com/memoreys/wp-content/uploads/2012/05/cake.jpg
685655211,finalized,3,3/6/15 13:31,Male,1,Kid (younger than 13),1,Person,0.6846,https://theplaidguy.files.wordpress.com/2012/06/happy-baby-eating-a-chocolate-cake.jpg
685655212,finalized,3,3/6/15 13:33,Male,1,Adult/Teenager (13 or older),1,Person,1,http://www.doubletakedebate.com/wp-content/uploads/2013/03/eating-cake.jpg
685655213,finalized,3,3/6/15 13:31,Female,1,Kid (younger than 13),1,Person,1,http://www.paulickreport.com/wp-content/uploads/2013/02/cake-eating.jpg
685655214,finalized,3,3/6/15 14:01,,,,,Image Not Working,1,http://thumb7.shutterstock.com/display_pic_with_logo/69880/69880
685655215,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),0.6811,Person,1,http://afunblog.com/wp-content/uploads/2014/08/Funny-Babies-Eating-Cake-9.jpg
685655216,finalized,3,3/6/15 13:33,Male,0.6811,Kid (younger than 13),1,Person,1,http://www.eeveelife.co.uk/wp-content/uploads/sites/3/2014/07/eating-cake.jpg
685655217,finalized,3,3/6/15 14:02,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.paramountfitness.co.uk/wp-content/uploads/2014/02/Woman-eating-cake.jpg
685655218,finalized,3,3/6/15 13:33,Female,1,Adult/Teenager (13 or older),1,Person,1,http://www.chrisjamescleanse.com/blog/wp-content/uploads/2013/01/Girl-eats-cake....jpg
685655219,finalized,3,3/6/15 13:33,Male,1,Kid (younger than 13),1,Person,1,http://thumbs.dreamstime.com/z/boy-eating-cake-9248153.jpg
685655220,finalized,3,3/6/15 13:38,Female,1,Adult/Teenager (13 or older),1,Person,1,http://static.oprah.com/images/spirit/200911/20091119-women-wanting-cake-350x263.jpg
